strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	sample_type_intern
AN17-418_S1.fna	Bacillus anthracis	2018-01-24	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614596	GCA_029693265.1	Contig	62	49	-2.72965833	35.32091667	99.43	0.29	clinical	NCBI	
AN17-418_S2.fna	Bacillus anthracis	2018-01-24	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614597	GCA_029693245.1	Contig	95	43	-2.72965833	35.32091667	99.43	0.86	clinical	NCBI	
AN17-418_S3.fna	Bacillus anthracis	2018-01-24	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614598	GCA_029693225.1	Contig	90	43	-2.72965833	35.32091667	99.43	0.29	clinical	NCBI	
AN17-70_S1.fna	Bacillus anthracis	2017-06-12	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614588	GCA_029693725.1	Contig	46	43	-6.5247123	35.7878438	99.43	0.67	clinical	NCBI	
AN17-70_S3.fna	Bacillus anthracis	2017-06-12	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614589	GCA_029693145.1	Contig	76	37	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
AN18-410_S1.fna	Bacillus anthracis	2018-01-22	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614590	GCA_029693745.1	Contig	92	40	-2.81103	35.32093333	99.43	0.86	clinical	NCBI	
AN18-410_S2.fna	Bacillus anthracis	2018-01-22	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614591	GCA_029694145.1	Contig	70	43	-2.81103	35.32093333	99.43	0.86	clinical	NCBI	
AN18-415_1.fna	Bacillus anthracis	2018-01-23	Tanzania	Tanzania	Equus quagga	Carcass	A.Br.038	PRJNA514245	SAMN32614592	GCA_029693125.1	Contig	198	58	-2.83185333	35.32696667	99.43	0.86	clinical	NCBI	
AN18-415_2.fna	Bacillus anthracis	2018-01-23	Tanzania	Tanzania	Equus quagga	Carcass	A.Br.038	PRJNA514245	SAMN32614593	GCA_029693105.1	Contig	163	77	-2.83185333	35.32696667	99.43	0.86	clinical	NCBI	
AN18-416_1.fna	Bacillus anthracis	2018-01-24	Tanzania	Tanzania	Equus quagga	Carcass	A.Br.038	PRJNA514245	SAMN32614594	GCA_029693685.1	Contig	157	59	-2.752735	35.30826333	99.43	0.86	clinical	NCBI	
AN18-416_2.fna	Bacillus anthracis	2018-01-24	Tanzania	Tanzania	Equus quagga	Carcass	A.Br.038	PRJNA918617	SAMN32614595	GCA_029636605.1	Complete	600	3	-2.752735	35.30826333	99.43	0.29	clinical	NCBI	
AN18-437_1.fna	Bacillus anthracis	2018-02-21	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMN32614599	GCA_029693185.1	Contig	198	137	-2.91300333	35.21429333	99.43	0.86	clinical	NCBI	
AN18-437_2.fna	Bacillus anthracis	2018-02-21	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMN32614600	GCA_029694205.1	Contig	163	44	-2.91300333	35.21429333	99.43	0.86	clinical	NCBI	
AN18-437_3.fna	Bacillus anthracis	2018-02-21	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMN32614601	GCA_029693205.1	Contig	165	59	-2.91300333	35.21429333	99.43	0.86	clinical	NCBI	
AN18-477_1.fna	Bacillus anthracis	2018-05-18	Tanzania	Tanzania	Equus quagga	Carcass	A.Br.038	PRJNA514245	SAMN32614602	GCA_029693165.1	Contig	211	41	-3.00698166	35.411345	99.43	0.86	clinical	NCBI	
AN18-477_2.fna	Bacillus anthracis	2018-05-18	Tanzania	Tanzania	Equus quagga	Carcass	A.Br.038	PRJNA514245	SAMN32614603	GCA_029693765.1	Contig	201	48	-3.00698166	35.411345	99.43	0.86	clinical	NCBI	
AN18-477_3.fna	Bacillus anthracis	2018-05-18	Tanzania	Tanzania	Equus quagga	Carcass	A.Br.038	PRJNA514245	SAMN32614604	GCA_029693805.1	Contig	162	64	-3.00698166	35.411345	99.43	0.86	clinical	NCBI	
AN18-584_T1.fna	Bacillus anthracis	2018-06-09	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMN32614605	GCA_029694225.1	Contig	86	38	-3.01867	35.48889	99.43	0.86	clinical	NCBI	
AN18-584_T2.fna	Bacillus anthracis	2018-06-09	Tanzania	Tanzania	Capra hircus	Carcass	A.Br.038	PRJNA514245	SAMN32614606	GCA_029693845.1	Contig	67	40	-3.01867	35.48889	99.43	0.86	clinical	NCBI	
AN19-603_T1.fna	Bacillus anthracis	2019-12-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMN32614607	GCA_029702785.1	Contig	74	38	-3.29957166	35.17622833	99.43	0.86	clinical	NCBI	
AN19-603_T2.fna	Bacillus anthracis	2019-12-16	Tanzania	Tanzania	Bos indicus	Carcass	A.Br.038	PRJNA514245	SAMN32614608	GCA_029693885.1	Contig	74	36	-3.29957166	35.17622833	99.43	0.86	clinical	NCBI	
AN19-606_T1.fna	Bacillus anthracis	2019-12-21	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614609	GCA_029693905.1	Contig	67	41	-2.81355166	35.350525	99.43	0.86	clinical	NCBI	
AN19-606_T2.fna	Bacillus anthracis	2019-12-21	Tanzania	Tanzania	Ovis aries	Carcass	A.Br.038	PRJNA514245	SAMN32614610	GCA_029693865.1	Contig	76	37	-2.81355166	35.350525	99.43	0.86	clinical	NCBI	
AN20-607_T1.fna	Bacillus anthracis	2020-01-13	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614611	GCA_029694185.1	Contig	63	40	-3.35183333	35.07279666	99.43	1.44	clinical	NCBI	
AN20-607_T2.fna	Bacillus anthracis	2020-01-13	Tanzania	Tanzania	Connochaetes taurinus	Carcass	A.Br.038	PRJNA514245	SAMN32614612	GCA_029693785.1	Contig	56	43	-3.35183333	35.07279666	99.43	0.86	clinical	NCBI	
ANHC18-28_S.fna	Bacillus anthracis	2018-10-19	Tanzania	Tanzania	Homo sapiens	Skin	A.Br.038	PRJNA514245	SAMN32614613	GCA_029693285.1	Contig	77	37	-2.8861229	35.4809341	99.43	0.86	clinical	NCBI	
ANSES_00-82.fna	Bacillus anthracis	2000-XX-XX	France	France	Bos sp.		B.Br.005	PRJNA242332	SAMN02699416	GCA_000697555.2				45.49489515	6.38466038137565	99.43	0.29	clinical	NCBI	
ANSES_08-8_20.fna	Bacillus anthracis	2008-XX-XX	France	France	Bos sp.		A.Br.080	PRJNA242332	SAMN02693047	GCA_000697515.2	Scaffold	149	32	46.603354	1.8883335	99.43	0.29	clinical	NCBI	
ANSES_101.fna	Bacillus anthracis	1999-XX-XX	France	France			A.Br.140_(L1)	PRJEB12289	SAMEA3720263	GCA_900013465.1	Contig	249	49	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_118.fna	Bacillus anthracis	1996-XX-XX	France	France			A.Br.139	PRJEB12289	SAMEA3720264	GCA_900014335.1	Contig	250	47	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_122.fna	Bacillus anthracis	1992-XX-XX	France	France			A.Br.UA2_(L6)	PRJEB12289	SAMEA3720265	GCA_900014345.1	Contig	298	49	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_32.fna	Bacillus anthracis	2007-XX-XX	France	France			A.Br.UA4	PRJEB12289	SAMEA3720266	GCA_900014355.1	Contig	298	47	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_86.fna	Bacillus anthracis	1982-XX-XX	France	France			A.Br.136	PRJEB12289	SAMEA3720267	GCA_900012555.1	Contig	295	63	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_88.fna	Bacillus anthracis	1990-XX-XX	France	France			A.Br.UA3_(L5)	PRJEB12289	SAMEA3720268	GCA_900014365.1	Contig	314	49	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_89.fna	Bacillus anthracis	1984-XX-XX	France	France			A.Br.140_(L1)	PRJEB12289	SAMEA3720269	GCA_900013475.1	Contig	275	50	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_90.fna	Bacillus anthracis	1986-XX-XX	France	France			A.Br.134	PRJEB12289	SAMEA3720270	GCA_900014375.1	Contig	81	85	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_92.fna	Bacillus anthracis	1989-XX-XX	France	France			A.Br.140_(L1)	PRJEB12289	SAMEA3720271	GCA_900013485.1	Contig	156	58	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_94.fna	Bacillus anthracis	1991-XX-XX	France	France			A.Br.UA4	PRJEB12289	SAMEA3720272	GCA_900011745.1	Contig	323	48	46.603354	1.8883335	99.43	0.29	unknown	NCBI	
ANSES_99-100.fna	Bacillus anthracis	1999-XX-XX	France	France	Bos sp.		A.Br.133_(Carbosap_L3)	PRJNA242332	SAMN02699415	GCA_000697535.2	Scaffold	144	32	46.603354	1.8883335	99.43	0.29	clinical	NCBI	
ASC609.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884948	GCA_029695085.1	Contig	54	413	41.6987597	73.0398551	99.43	0.86	environment	NCBI	
ASC610.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884949	GCA_029695065.1	Contig	71	218	41.6987597	73.0398551	99.43	0.86	environment	NCBI	
ASC611.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884950	GCA_029694815.1	Contig	55	272	41.6987597	73.0398551	99.43	0.86	environment	NCBI	
ASC612.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884951	GCA_029694685.1	Contig	49	347	41.6987597	73.0398551	99.43	0.67	environment	NCBI	
ASC613.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884952	GCA_029694625.1	Contig	81	96	41.6987597	73.0398551	99.43	0.86	environment	NCBI	
ASC614.fna	Bacillus anthracis	2011-10-14	Kyrgyzstan	Jalal-Abad Province		Soil	A.Br.119	PRJNA514245	SAMN04884953	GCA_029694835.1	Contig	71	146	41.6987597	73.0398551	99.43	0.86	environment	NCBI	
ATCC-11966.fna	Bacillus anthracis	20XX-XX-XX	USA	Maryland		Decades Old Lyophilate Stock In Glass Vial	A.Br.060	PRJNA561583	SAMN12620932	GCA_009831565.1	Scaffold	748	33	39.5162401	-76.9382069	99.43	0.29	unknown	NCBI	
ATCC-240.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.131	PRJNA561583	SAMN12620928	GCA_009831485.1	Scaffold	721	25	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	
ATCC-4728.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.131	PRJNA561583	SAMN12620930	GCA_009831675.1	Scaffold	330	22	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	
ATCC-6603.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.092	PRJNA561583	SAMN12620931	GCA_009831545.1	Scaffold	663	28	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	
ATCC-937.fna	Bacillus anthracis	20XX-XX-XX	USA	USA		Decades Old Lyophilate Stock In Glass Vial	A.Br.020	PRJNA561583	SAMN12620929	GCA_009831645.1	Scaffold	668	25	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	
Australia94.fna	Bacillus anthracis	20XX-XX-XX					A.Br.015	PRJNA10799	SAMN02435830	GCA_000167335.1	Scaffold		49			99.01	2.01	unknown	NCBI	
B-a-1056_51.fna	Bacillus anthracis	1993-XX-XX	Russia	Russia			A.Br.110	PRJNA514245	SAMEA5366149	GCA_029695725.1	Contig	49	168	64.6863136	97.7453061	99.43	0.86	unknown	NCBI	
B-a-5Ya.fna	Bacillus anthracis	2016-09-XX	Russia	Russia		Soil	B.Br.002_(KrugerB)	PRJNA514245	SAMEA5366148	GCA_029695705.1	Contig	33	120	68.564567	144.769827	98.85	0.29	environment	NCBI	
B.fna	Bacillus anthracis	1935-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.081_(Ames)	PRJNA514245	SAMEA3735734	GCA_029695545.1	Contig	122	63	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
B42.fna	Bacillus anthracis	1990-XX-XX	South Africa	Kruger National Park	Syncerus caffer		A.Br.041/042	PRJNA514245	SAMN15402711	GCA_029695425.1	Contig	232	53	-23.9316231	31.5048950217197	99.43	0.86	clinical	NCBI	
Ba-1802-12-Geo.fna	Bacillus anthracis	2012-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.094	PRJNA336484	SAMN05511254	GCA_002025435.1	Contig	119	77	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	
Ba-1897-12-Geo.fna	Bacillus anthracis	2012-XX-XX	Georgia_country	Georgia_country		Beef	A.Br.094	PRJNA336484	SAMN05511396	GCA_002025375.1	Contig	132	89	41.6809707	44.0287382	99.43	0.29	unknown	NCBI	
Ba-7673-89-Geo.fna	Bacillus anthracis	1989-XX-XX	Georgia_country	Georgia_country		Soil	A.Br.119	PRJNA336484	SAMN05511400	GCA_002025335.1	Contig	211	87	41.6809707	44.0287382	99.43	0.29	environment	NCBI	
Ba-8776-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.027	PRJNA336484	SAMN05511380	GCA_002025455.1	Contig	124	82	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	
Ba-8782-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country	Ovis sp.	Skin	A.Br.119	PRJNA336484	SAMN05511402	GCA_002025395.1	Contig	98	83	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	
Ba-8784-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country		Beef	A.Br.119	PRJNA336484	SAMN05511417	GCA_002025275.1	Contig	195	73	41.6809707	44.0287382	99.43	0.29	unknown	NCBI	
Ba-8785-92-Geo.fna	Bacillus anthracis	1992-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.119	PRJNA336484	SAMN05511418	GCA_002025265.1	Contig	154	71	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	
Ba-8884-94-Geo.fna	Bacillus anthracis	1994-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.119	PRJNA336484	SAMN05511433	GCA_002019425.1	Contig	168	70	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	
Ba-9065-08-Geo.fna	Bacillus anthracis	2008-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.028	PRJNA336484	SAMN05511398	GCA_002025345.1	Contig	209	71	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	
Ba-9108-08-Geo.fna	Bacillus anthracis	2008-XX-XX	Georgia_country	Georgia_country	Homo sapiens	Ulcer	A.Br.028	PRJNA336484	SAMN05511399	GCA_002025415.1	Contig	157	71	41.6809707	44.0287382	99.43	0.29	clinical	NCBI	
BA-C10-CHER.fna	Bacillus anthracis	2010-XX-XX	Ukraine	Khotyn	Bos taurus		A.Br.110	PRJEB49261	SAMEA11477102	GCA_928858765.1	Contig	293	3	49.4871968	31.2718321	99.43	0.29	clinical	NCBI	
BA-C12-SU.fna	Bacillus anthracis	2012-XX-XX	Ukraine	Smila	Bos taurus		A.Br.110	PRJEB49261	SAMEA11477104	GCA_928869835.1	Contig	377	3	49.4871968	31.2718321	99.43	0.29	clinical	NCBI	
BA-D12-MEL.fna	Bacillus anthracis	2012-XX-XX	Ukraine	Melitopol	Canis lupus familiaris		A.Br.110	PRJEB49261	SAMEA11477103	GCA_928865485.1	Contig	356	3	49.4871968	31.2718321	99.43	0.29	clinical	NCBI	
BA-S12-SU.fna	Bacillus anthracis	2012-XX-XX	Ukraine	Sumy		Soil	A.Br.110	PRJEB49261	SAMEA11477105	GCA_928858585.1	Contig	369	3	49.4871968	31.2718321	99.43	0.29	environment	NCBI	
BA0002.fna	Bacillus anthracis	1993-XX-XX	Italy	Apulia	Ovis sp.		A.Br.146	PRJNA656733	SAMN15801197	GCA_017814285.1	Contig	57	53	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0004.fna	Bacillus anthracis	1993-XX-XX	Italy	Apulia	Capra sp.		A.Br.138	PRJNA656733	SAMN15801198	GCA_017814255.1	Scaffold	76	41	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0008.fna	Bacillus anthracis	1997-XX-XX	Italy	Sicily	Ovis sp.		A.Br.128	PRJNA656733	SAMN15801199	GCA_017814325.1	Contig	76	56	37.587794	14.155048	99.43	0.29	clinical	NCBI	
BA0019.fna	Bacillus anthracis	1999-XX-XX	Italy	Basilicata	Bos taurus		A.Br.145	PRJNA656733	SAMN15801200	GCA_017814225.1	Scaffold	72	40	40.500571	16.081953	99.43	0.29	clinical	NCBI	
BA0022.fna	Bacillus anthracis	1984-XX-XX	Italy	Apulia	Ovis sp.		A.Br.145	PRJNA656733	SAMN15801201	GCA_017814175.1	Scaffold	71	82	40.9842539	16.6210027	98.85	0.29	clinical	NCBI	
BA0039.fna	Bacillus anthracis	1972-XX-XX	Italy	Apulia	Bos taurus		A.Br.142	PRJNA656733	SAMN15801202	GCA_017813805.1	Scaffold	64	44	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0040.fna	Bacillus anthracis	1984-XX-XX	Italy	Basilicata	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801203	GCA_017813915.1	Scaffold	58	78	40.500571	16.081953	99.43	0.29	clinical	NCBI	
BA0041.fna	Bacillus anthracis	1984-XX-XX	Italy	Apulia	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801204	GCA_017813795.1	Scaffold	64	88	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0042.fna	Bacillus anthracis	1984-XX-XX	Italy	Apulia	Equus caballus		A.Br.138	PRJNA656733	SAMN15801205	GCA_017813825.1	Contig	60	109	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0045.fna	Bacillus anthracis	2000-XX-XX	Italy	Apulia	Ovis sp.		A.Br.140_(L1)	PRJNA656733	SAMN15801206	GCA_017813875.1	Scaffold	62	50	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0048.fna	Bacillus anthracis	2000-XX-XX	Italy	Sardinia	Bos taurus		A.Br.147	PRJNA656733	SAMN15801207	GCA_017814495.1	Contig	49	88	40.0912813	9.0305773	99.43	0.29	clinical	NCBI	
BA0050.fna	Bacillus anthracis	1995-XX-XX	Italy	Veneto	Bos taurus		A.Br.034_(AncientA)	PRJNA656733	SAMN15801208	GCA_017814565.1	Scaffold	63	72	45.6476663	11.8665254	99.43	0.29	clinical	NCBI	
BA0052.fna	Bacillus anthracis	1999-XX-XX	Italy	Lazio	Ovis sp.		A.Br.142	PRJNA656733	SAMN15801209	GCA_017814535.1	Scaffold	72	46	41.9808038	12.7662312	99.43	0.29	clinical	NCBI	
BA0053.fna	Bacillus anthracis	1999-XX-XX	Italy	Tuscany	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801210	GCA_017814555.1	Contig	69	290	43.4586541	11.1389204	99.43	0.29	clinical	NCBI	
BA0058.fna	Bacillus anthracis	2001-XX-XX	Italy	Apulia	Ovis sp.		A.Br.142	PRJNA656733	SAMN15801211	GCA_017814475.1	Contig	65	69	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0065.fna	Bacillus anthracis	2002-XX-XX	Italy	Calabria	Capra sp.		A.Br.146	PRJNA656733	SAMN15801212	GCA_017813815.1	Contig	74	53	39.0565974	16.5249864	99.43	0.29	clinical	NCBI	
BA0068.fna	Bacillus anthracis	2004-XX-XX	Italy	Campania	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801213	GCA_017814515.1	Scaffold	86	34	40.860672	14.843984	99.43	0.29	clinical	NCBI	
BA0131.fna	Bacillus anthracis	1917-XX-XX	Italy	Sardinia	Capra sp.		A.Br.139	PRJNA656733	SAMN15801214	GCA_017813925.1	Contig	85	30	40.0912813	9.0305773	99.33	0.29	clinical	NCBI	
BA0132.fna	Bacillus anthracis	2005-XX-XX	Italy	Apulia	Capra sp.		A.Br.144_(Pollino)	PRJNA656733	SAMN15801215	GCA_017813895.1	Scaffold	98	30	40.9842539	16.6210027	99.43	0.57	clinical	NCBI	
BA0137.fna	Bacillus anthracis	2006-XX-XX	Italy	Apulia	Ovis sp.		A.Br.140_(L1)	PRJNA656733	SAMN15801216	GCA_017813945.1	Contig	82	64	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0141.fna	Bacillus anthracis	2006-XX-XX	Italy	Apulia	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801217	GCA_017814075.1	Scaffold	96	37	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0142.fna	Bacillus anthracis	2006-XX-XX	Italy	Apulia	Bos taurus		A.Br.138	PRJNA656733	SAMN15801218	GCA_017814035.1	Scaffold	83	43	40.9842539	16.6210027	99.43	0.29	clinical	NCBI	
BA0152.fna	Bacillus anthracis	2009-XX-XX	Italy	Umbria	Bos taurus		A.Br.118_(STI)	PRJNA656733	SAMN15801219	GCA_017814095.1	Contig	80	26	42.965916	12.490236	99.43	0.29	clinical	NCBI	
BA0180.fna	Bacillus anthracis	2009-XX-XX	Italy	Sicily	Bos taurus		A.Br.128	PRJNA656733	SAMN15801220	GCA_017814055.1	Contig	56	112	37.587794	14.155048	99.43	0.29	clinical	NCBI	
BA0183.fna	Bacillus anthracis	1989-XX-XX	Italy	Lombardia	Bos taurus		A.Br.008_(TEA)	PRJNA656733	SAMN15801221	GCA_017814375.1	Contig	95	102	45.5703694	9.7732524	99.43	0.29	clinical	NCBI	
BA0188.fna	Bacillus anthracis	2007-XX-XX	Italy	Veneto	Bos taurus		B.Br.004_(FrenchB)	PRJNA656733	SAMN15801222	GCA_017814355.1	Scaffold	79	130	45.6476663	11.8665254	99.43	0.29	clinical	NCBI	
BA0288.fna	Bacillus anthracis	2011-XX-XX	Italy	Campania	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801223	GCA_017814305.1	Contig	67	186	40.860672	14.843984	99.43	0.29	clinical	NCBI	
BA0430.fna	Bacillus anthracis	2012-XX-XX	Italy	Basilicata	Homo sapiens		A.Br.145	PRJNA656733	SAMN15801224	GCA_017814215.1	Contig	62	111	40.500571	16.081953	99.43	0.29	clinical	NCBI	
BA0438.fna	Bacillus anthracis	2012-XX-XX	Italy	Sicily	Bos taurus		A.Br.139	PRJNA656733	SAMN15801225	GCA_017814195.1	Scaffold	91	78	37.587794	14.155048	99.43	0.29	clinical	NCBI	
BA0441.fna	Bacillus anthracis	2012-XX-XX	Italy	Tuscany	Bos taurus		A.Br.159	PRJNA656733	SAMN15801226	GCA_017814155.1	Contig	92	49	43.4586541	11.1389204	99.43	0.29	clinical	NCBI	
BA0661.fna	Bacillus anthracis	2014-XX-XX	Italy	Basilicata	Bos taurus		A.Br.144_(Pollino)	PRJNA656733	SAMN15801227	GCA_017814115.1	Contig	83	70	40.500571	16.081953	99.43	0.29	clinical	NCBI	
BA0662.fna	Bacillus anthracis	2014-XX-XX	Italy	Sicily	Bos taurus		A.Br.128	PRJNA656733	SAMN15801228	GCA_017814105.1	Contig	87	119	37.587794	14.155048	99.43	0.29	clinical	NCBI	
BA0722.fna	Bacillus anthracis	2016-XX-XX	Italy	Sicily	Bos taurus		A.Br.128	PRJNA656733	SAMN15801230	GCA_017814405.1	Scaffold	75	150	37.587794	14.155048	99.35	0.29	clinical	NCBI	
BA0725.fna	Bacillus anthracis	2017-XX-XX	Italy	Lazio	Bos taurus		A.Br.140_(L1)	PRJNA656733	SAMN15801231	GCA_018222265.1	Scaffold	92	44	41.9808038	12.7662312	99.43	0.29	clinical	NCBI	
BA1015.fna	Bacillus anthracis	1939-XX-XX	USA	Maryland	Bos sp.		A.Br.065	PRJNA238204	SAMN03010426	GCA_000832665.1	Complete	319	3	39.5162401	-76.9382069	99.43	0.29	clinical	NCBI	
BA1035.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa	Homo sapiens		B.Br.011_(KrugerB)	PRJNA238135	SAMN03010427	GCA_000832725.1	Complete	323	3	-28.8166236	24.991639	99.43	0.29	clinical	NCBI	
BA105.fna	Bacillus anthracis	1982-XX-XX	Japan	Shizuoka			A.Br.015	PRJNA514245	SAMD00115659	GCA_029702565.1	Contig	58	55	34.9332488	138.0955398	99.43	0.29	unknown	NCBI	
BA106_263.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			C.Br.002	PRJNA1426891	SAMN55897428					39.7837304	-100.445882	99.43	0.29	unknown	this study	BA106
BA107.fna	Bacillus anthracis	1982-XX-XX	Japan	Ginoza			A.Br.015	PRJNA514245	SAMD00115658	GCA_029702585.1	Contig	38	46	26.493888	127.971539	99.43	0.29	unknown	NCBI	
BA108.fna	Bacillus anthracis	1987-XX-XX	Japan	Shiga			A.Br.078	PRJNA514245	SAMD00115657	GCA_029702545.1	Contig	49	51	35.247154	136.109385	99.43	0.29	unknown	NCBI	
BA109.fna	Bacillus anthracis	1969-XX-XX	Japan	Mie			A.Br.098	PRJNA514245	SAMD00115656	GCA_029702715.1	Contig	31	57	34.7339685	136.5154489	99.43	0.29	unknown	NCBI	
BA2968.fna	Bacillus anthracis	2008-XX-XX	Finland	Helsinki	Bos taurus		B.Br.002_(KrugerB)	PRJNA309927	SAMN08812794	GCA_003063925.1	Contig	72	31	60.1674881	24.9427473	99.43	0.29	clinical	NCBI	
BA500.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523108	GCA_002525705.1	Contig	207	44			99.43	0.29	unknown	NCBI	
BA663.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523111	GCA_002525685.1	Contig	233	60			99.43	0.29	unknown	NCBI	
BA721.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523110	GCA_002525785.1	Contig	238	50			99.43	0.29	unknown	NCBI	
BA749.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227700	GCA_026559735.1	Complete	325	2			99.43	0.29	unknown	NCBI	
BA750.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227701	GCA_026689555.1	Scaffold	348	6			99.43	0.29	unknown	NCBI	
BA751.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227702	GCA_026689535.1	Contig	263	3			99.43	0.29	unknown	NCBI	
BA752.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227703	GCA_026689545.1	Scaffold	142	5			99.43	0.29	unknown	NCBI	
